Name,Mostly seen,Max Length
"King Cobra
","India,China, Malaysia, Philippines",18 feet
Black Mamba, Africa,14 feet
"Python
","Africa,Asia",30 feet 
Anaconda, South America,30 feet 
Sea Snake,Indian and Pacific ocean,5 feet
Rat Snake,"USA,Canada",6 feet 
Sidewinder," USA,Mexico",3 feet
Rhinoceros viper,Africa,3 feet
Indian Cobra,"India, Pakistan, Bangladesh, Sri Lanka, Nepal",5 feet
"Tiger Snake
","Australia,Tasmania",30 feet
Cape Cobra,South Africa,5 feet
Eastern Green Mamba,East Africa,6 feet 
"Egyptian Cobra
", North Africa,8 feet
"Red Spitting Cobra
"," Africa,Djibouti, Eritrea, Somalia,Egypt",5 feet
Mozambique Spitting Cobra,"Angola, Botswana, Mozambique, Namibia, South Africa, Tanzania, Zambia",4 feet
Inland Taipan,East Australia,8 feet
Copperheads,"USA,Costa Rica",4 feet
Rattlesnakes,,
Water Moccasin,United States,3 feet
Bushmaster,Central and South America,9 feet
Friend,Universities,6 feet
